(-0.13875727571288743,0.5729490168751576) (-0.13875727571288746,0.42705098312484224) (-0.2775145514257751,0.4721359549995795) stop stop stop stop stop 
(-0.1917578388488701,0.49999999999999994) (-0.08575671257690455,0.4999999999999998) (-0.1387572757128875,0.33688103937536806) (-0.22451398828979233,0.39918693812442213) stop stop stop stop 
(-0.13875727571288743,0.5729490168751576) (-0.13875727571288746,0.42705098312484224) (-0.08575671257690466,0.40983005625052565) (4.271623224331746e-16,0.5278640450004206) (2.7755575615628914e-16,0.47213595499957933) stop stop stop 
(-0.08575671257690455,0.4999999999999998) (1.1102230246251565e-16,0.3819660112501049) (-0.1387572757128875,0.33688103937536806) stop stop stop stop stop 
(-0.08575671257690466,0.40983005625052565) (2.7755575615628914e-16,0.47213595499957933) (-0.05300056313598257,0.3090169943749473) (0.08575671257690418,0.4098300562505257) (0.05300056313598221,0.30901699437494756) stop stop stop 
(-0.36327126400268095,0.5000000000000001) (-0.2245139882897924,0.5450849718747371) (-0.1917578388488701,0.49999999999999994) (-0.27751455142577514,0.3819660112501057) (-0.22451398828979233,0.39918693812442213) stop stop stop 
(-0.22451398828979274,0.6909830056250524) (-0.13875727571288743,0.5729490168751576) (-0.08575671257690422,0.7360679774997897) stop stop stop stop stop 
(-0.13875727571288743,0.5729490168751576) (-0.08575671257690422,0.7360679774997897) (7.119571742593846e-16,0.673762078750736) stop stop stop stop stop 
(-0.13875727571288782,0.8090169943749476) (-0.17151342515380996,0.7639320225002106) (-0.13875727571288698,0.6631189606246319) (-0.0857567125769042,0.6458980337503153) (6.841777824922146e-16,0.7639320225002102) stop stop stop 
(-0.08575671257690422,0.7360679774997897) (-0.05300056313598199,0.8368810393753678) (9.159339953157541e-16,0.8541019662496844) (7.119571742593846e-16,0.673762078750736) (0.0857567125769044,0.7360679774997896) (0.05300056313598249,0.8368810393753678) stop stop 
(-0.13875727571288782,0.8090169943749476) (-0.05300056313598245,0.9270509831248421) (6.841777824922146e-16,0.7639320225002102) stop stop stop stop stop 
(-0.05300056313598245,0.9270509831248421) (6.841777824922146e-16,0.7639320225002102) (0.05300056313598276,0.9270509831248429) stop stop stop stop stop 
(-0.13875727571288743,0.5729490168751576) (4.271623224331746e-16,0.5278640450004206) (7.119571742593846e-16,0.673762078750736) stop stop stop stop stop 
(-0.08575671257690455,0.4999999999999998) (-0.053000563135982205,0.6008130618755783) (0.08575671257690438,0.49999999999999983) (0.053000563135982094,0.6008130618755781) stop stop stop stop 
(-0.0857567125769042,0.6458980337503153) (6.841777824922146e-16,0.7639320225002102) (-0.053000563135982205,0.6008130618755783) (0.08575671257690429,0.6458980337503153) (0.053000563135982094,0.6008130618755781) stop stop stop 
(-0.08575671257690455,0.4999999999999998) (1.1102230246251565e-16,0.3819660112501049) (0.08575671257690438,0.49999999999999983) stop stop stop stop stop 
(-0.08575671257690475,0.2639320225002102) (-0.05300056313598257,0.3090169943749473) (-0.08575671257690481,0.20820393249936897) (4.074014939083428e-17,0.1458980337503153) (0.05300056313598221,0.30901699437494756) (0.08575671257690419,0.2639320225002103) (0.08575671257690418,0.20820393249936897) stop 
(1.0408340855860843e-16,0.23606797749978953) (-0.1387572757128875,0.33688103937536806) (-0.17151342515380974,0.23606797749978967) stop stop stop stop stop 
(1.1102230246251565e-16,0.3819660112501049) (1.0408340855860843e-16,0.23606797749978953) (-0.1387572757128875,0.33688103937536806) stop stop stop stop stop 
(-0.13875727571288746,0.42705098312484224) (-0.08575671257690466,0.40983005625052565) (-0.08575671257690475,0.2639320225002102) (-0.05300056313598257,0.3090169943749473) (-0.22451398828979244,0.3090169943749477) stop stop stop 
(-0.1387572757128875,0.33688103937536806) (-0.17151342515380974,0.23606797749978967) (-0.27751455142577514,0.3819660112501057) (-0.22451398828979233,0.39918693812442213) (-0.27751455142577536,0.23606797749978864) (-0.3102707008666973,0.336881039375367) stop stop 
(1.0408340855860843e-16,0.23606797749978953) (-0.08575671257690493,0.11803398874989482) (-0.17151342515380974,0.23606797749978967) stop stop stop stop stop 
(-0.08575671257690481,0.20820393249936897) (4.074014939083428e-17,0.1458980337503153) (-0.13875727571288754,0.04508497187473718) (-0.17151342515380966,0.14589803375031446) stop stop stop stop 
(1.0408340855860843e-16,0.23606797749978953) (-0.08575671257690493,0.11803398874989482) (-0.053000563135982864,0.0729490168751577) (0.08575671257690531,0.1180339887498946) (0.05300056313598317,0.07294901687515751) stop stop stop 
(4.074014939083428e-17,0.1458980337503153) (-1.6653345369377348e-16,-5.551115123125783e-17) (-0.13875727571288754,0.04508497187473718) stop stop stop stop stop 
(-0.053000563135982864,0.0729490168751577) (-0.08575671257690488,-0.027864045000420577) (3.196462762474974e-16,-0.09016994374947418) (0.08575671257690518,-0.027864045000419984) (0.05300056313598317,0.07294901687515751) stop stop stop 
(-0.08575671257690475,0.2639320225002102) (-0.22451398828979244,0.3090169943749477) (-0.08575671257690481,0.20820393249936897) (-0.22451398828979252,0.16311896062463088) (-0.17151342515380966,0.14589803375031446) stop stop stop 
(-0.2775145514257751,0.4721359549995795) (-0.22451398828979244,0.3090169943749477) (-0.3632712640026799,0.4098300562505248) stop stop stop stop stop 
